ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-16,Source2,2,2016-02-08 08:43:20,2016-02-08 09:13:20,39.745888,-84.17041,0.01,Accident on Wayne Ave at Glencoe Ave. Expect delays.,Glencoe Ave,Dayton,Montgomery,OH,45410-1721,US,US/Eastern,KFFO,2016-02-08 08:28:00,33.8,,100.0,29.63,3.0,SW,2.3,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-17,Source2,2,2016-02-08 08:53:17,2016-02-08 09:23:17,39.748329,-84.224007,0.01,Accident on James H McGee Blvd at US-35. Expect delays.,S James H McGee Blvd,Dayton,Montgomery,OH,45402,US,US/Eastern,KFFO,2016-02-08 08:58:00,35.6,,99.0,29.65,7.0,WSW,2.3,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-18,Source2,2,2016-02-08 09:24:37,2016-02-08 09:54:37,39.752174,-84.239952,0.0,Accident on Delphos Ave at Brooklyn Ave. Expect delays.,Delphos Ave,Dayton,Montgomery,OH,45417-1727,US,US/Eastern,KDAY,2016-02-08 08:56:00,36.0,31.1,89.0,29.65,10.0,NW,5.8,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-19,Source2,2,2016-02-08 09:25:17,2016-02-08 09:55:17,39.740669,-84.184135,0.01,Accident on Stewart St near Rubicon St. Expect delays.,Rubicon St,Dayton,Montgomery,OH,45409-2659,US,US/Eastern,KFFO,2016-02-08 09:38:00,37.4,32.1,93.0,29.63,10.0,WSW,6.9,,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-20,Source2,2,2016-02-08 09:35:35,2016-02-08 10:05:35,39.790703,-84.244461,0.01,Accident on Hillcrest Ave at Piccadilly Ave. Expect delays.,W Hillcrest Ave,Dayton,Montgomery,OH,45406-2640,US,US/Eastern,KDAY,2016-02-08 09:56:00,36.0,30.3,89.0,29.65,10.0,West,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-21,Source2,2,2016-02-08 10:11:15,2016-02-08 10:41:15,40.052509,-82.88233199999998,0.0,Accident on Brookhill Dr at Glenhurst Ct.,Brookhill Dr,Columbus,Franklin,OH,43230-1765,US,US/Eastern,KCMH,2016-02-08 10:14:00,33.8,29.6,100.0,29.62,2.0,NNW,4.6,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-22,Source2,2,2016-02-08 10:24:27,2016-02-08 10:54:27,39.773346,-84.224686,0.0,Accident on Princeton Dr at Catalpa Dr. Expect delays.,Princeton Dr,Dayton,Montgomery,OH,45406-4736,US,US/Eastern,KDAY,2016-02-08 09:56:00,36.0,30.3,89.0,29.65,10.0,West,6.9,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-23,Source2,2,2016-02-08 11:53:19,2016-02-08 12:23:19,39.628288,-84.226151,0.01,Accident on OH-741 Springboro Pike at Lyons Rd. Expect delays.,Springboro Pike,Miamisburg,Montgomery,OH,45342,US,US/Eastern,KMGY,2016-02-08 11:53:00,35.1,28.6,89.0,29.65,6.0,WSW,8.1,0.02,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-24,Source2,3,2016-02-08 12:00:00,2016-02-08 12:45:00,40.023487,-82.994888,0.01,Accident on I-71 Northbound at Exit 113 Silver Dr. On exit ramp.,North Fwy S,Columbus,Franklin,OH,43211,US,US/Eastern,KCMH,2016-02-08 11:51:00,37.0,32.4,96.0,29.63,8.0,West,5.8,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-25,Source2,2,2016-02-08 12:16:44,2016-02-08 13:01:44,39.761379,-84.25921600000002,0.01,Accident on Hoover Ave at Elmhurst Rd.,Hoover Ave,Dayton,Montgomery,OH,45417-1117,US,US/Eastern,KDAY,2016-02-08 12:20:00,37.9,30.9,76.0,29.62,10.0,WNW,10.4,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-26,Source2,2,2016-02-08 12:41:08,2016-02-08 13:11:08,40.158024,-82.641762,1.32,Accident on County Hwy-16 Sportsman Club Rd between Liberty Ridge Ct and Nichols Ln.,Sportsman Club Rd,Johnstown,Licking,OH,43031-9133,US,US/Eastern,KCMH,2016-02-08 12:51:00,37.9,34.4,100.0,29.6,5.0,West,4.6,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-27,Source2,2,2016-02-08 12:52:05,2016-02-08 13:37:05,39.733219,-84.159653,0.0,Accident on Irving Ave at Wilmington Ave.,Irving Ave,Dayton,Montgomery,OH,45419-4148,US,US/Eastern,KMGY,2016-02-08 12:53:00,36.0,29.0,86.0,29.63,7.0,West,9.2,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-28,Source2,2,2016-02-08 14:24:48,2016-02-08 15:09:48,39.775303,-84.200523,0.0,Accident on Helena St at OH-48 Main St.,W Helena St,Dayton,Montgomery,OH,45405-4326,US,US/Eastern,KDAY,2016-02-08 13:56:00,39.9,32.9,70.0,29.61,10.0,WNW,11.5,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-29,Source2,2,2016-02-08 14:56:57,2016-02-08 15:41:57,39.789322,-84.23910500000002,0.01,Accident on Salem Ave at Litchfield Ave.,Litchfield Ave,Dayton,Montgomery,OH,45406-2701,US,US/Eastern,KDAY,2016-02-08 14:56:00,39.9,34.5,65.0,29.61,10.0,WNW,8.1,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-30,Source2,2,2016-02-08 15:26:14,2016-02-08 16:11:14,39.75872,-84.183762,0.0,Accident on 4th St at Wayne Ave.,E 4th St,Dayton,Montgomery,OH,45402,US,US/Eastern,KFFO,2016-02-08 15:46:00,39.2,35.9,75.0,29.62,10.0,NNE,4.6,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-31,Source2,2,2016-02-08 16:16:08,2016-02-08 16:46:08,40.081459,-83.122398,0.01,Accident on Frantz Rd Southbound at Bradenton Ave.,Frantz Rd,Dublin,Franklin,OH,43017-2552,US,US/Eastern,KOSU,2016-02-08 15:53:00,37.0,31.6,89.0,29.61,10.0,West,6.9,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-32,Source2,2,2016-02-08 17:39:24,2016-02-08 18:24:24,39.83321,-84.112946,0.0,Accident on Powell Rd at Bellefontaine Rd. Approach with care.,Bellefontaine Rd,Dayton,Montgomery,OH,45424-4132,US,US/Eastern,KFFO,2016-02-08 17:58:00,34.2,31.2,97.0,29.66,10.0,NW,3.5,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-33,Source2,3,2016-02-08 18:24:00,2016-02-08 21:00:00,40.042725,-82.99730699999998,0.01,Left lane blocked due to accident on I-71 Southbound at Exit 115 Cooke Rd.,North Fwy S,Columbus,Franklin,OH,43224,US,US/Eastern,KCMH,2016-02-08 18:43:00,33.8,28.6,100.0,29.62,6.0,South,5.8,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-34,Source2,3,2016-02-08 19:28:00,2016-02-08 21:00:00,39.974415,-82.848854,0.01,Right lane blocked due to accident on I-270 Outerbelt Northbound at Exit 39 OH-16 Broad St.,Outerbelt N,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,2016-02-08 19:51:00,34.0,,100.0,29.65,6.0,Calm,,0.07,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-35,Source2,2,2016-02-08 20:22:38,2016-02-08 21:07:38,39.994766,-83.02449,0.01,Accident on OH-315 Olentangy Fwy Eastbound at Cannon Dr.,Olentangy Fwy N,Columbus,Franklin,OH,43212,US,US/Eastern,KOSU,2016-02-08 20:27:00,33.1,26.1,92.0,29.63,7.0,WNW,8.1,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-36,Source2,2,2016-02-08 20:43:00,2016-02-08 23:00:00,40.006477,-83.030991,1.09,Right lane blocked due to accident on OH-315 Olentangy Fwy Northbound between Cannon Dr and Lane Ave.,Olentangy Fwy S,Columbus,Franklin,OH,43210,US,US/Eastern,KOSU,2016-02-08 20:39:00,33.1,25.5,92.0,29.63,9.0,WNW,9.2,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-37,Source2,2,2016-02-09 04:28:48,2016-02-09 04:58:48,39.742062,-84.186996,0.01,Accident on OH-48 Main St at Fairground Ave. Expect delays.,S Main St,Dayton,Montgomery,OH,45409-2616,US,US/Eastern,KFFO,2016-02-09 04:28:00,23.0,11.7,93.0,29.65,5.0,SW,11.5,,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-38,Source2,2,2016-02-09 05:04:34,2016-02-09 05:34:34,39.843521,-82.78157,0.01,Accident on US-33 Columbus Lancaster Rd Eastbound at County Hwy-18 Diley Rd. Expect delays.,Diley Rd,Canal Winchester,Fairfield,OH,43110,US,US/Eastern,KLCK,2016-02-09 04:55:00,23.0,11.7,93.0,29.63,2.5,WSW,11.5,,Light Snow,False,False,False,False,True,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-39,Source2,2,2016-02-09 05:17:08,2016-02-09 05:47:08,39.782578,-84.178688,0.01,Accident on Leo St at Kiser St. Expect delays.,Kiser St,Dayton,Montgomery,OH,45404-1672,US,US/Eastern,KFFO,2016-02-09 04:58:00,22.8,11.5,89.0,29.69,4.0,SW,11.5,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-40,Source2,3,2016-02-09 05:27:20,2016-02-09 05:57:20,40.007626,-82.912155,0.01,Accident on I-670 Northeast Fwy Eastbound near I-270 Outerbelt Exits 35A 35B. Expect delays.,Stelzer Rd,Columbus,Franklin,OH,43219-3504,US,US/Eastern,KCMH,2016-02-09 05:27:00,26.6,18.2,86.0,29.62,1.5,West,8.1,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-41,Source2,2,2016-02-09 05:40:57,2016-02-09 06:10:57,39.447502,-84.19120799999997,0.0,Accident on Monroe Rd near Shaker Run Rd. Expect delays.,Monroe Rd,Lebanon,Warren,OH,45036,US,US/Eastern,KMGY,2016-02-09 05:45:00,21.0,10.6,85.0,29.67,0.8,SW,9.2,0.01,Light Snow,False,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-42,Source2,2,2016-02-09 05:47:16,2016-02-09 06:17:16,39.787731,-84.173439,0.01,Accident on Stanley Ave at Kuntz Rd.,Air City Ave,Dayton,Montgomery,OH,45404-1255,US,US/Eastern,KFFO,2016-02-09 05:58:00,23.0,12.4,86.0,29.71,3.0,SW,10.4,0.0,Light Snow,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-43,Source2,2,2016-02-09 05:56:10,2016-02-09 06:26:10,39.426277,-83.624611,0.01,Accident on OH-72 State Route 72 Northbound at Point Isabel Rd.,S State Route 72,Sabina,Clinton,OH,45169,US,US/Eastern,KILN,2016-02-09 05:54:00,19.9,6.7,89.0,29.75,1.8,WSW,13.8,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-44,Source2,3,2016-02-09 06:06:45,2016-02-09 06:36:45,39.978306,-82.852554,0.01,Accident on I-270 Outerbelt near Exit 39 OH-16 Broad St.,E Broad St,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,2016-02-09 05:51:00,25.0,15.5,88.0,29.65,1.0,SW,9.2,0.02,Light Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-45,Source2,3,2016-02-09 06:13:33,2016-02-09 06:43:33,39.84182,-84.18960600000003,0.01,Accident on I-75 Northbound at Exit 59 Wyse Rd. Expect delays.,Benchwood Rd,Dayton,Montgomery,OH,45414,US,US/Eastern,KDAY,2016-02-09 06:03:00,23.0,10.1,88.0,29.66,2.0,West,15.0,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-46,Source2,3,2016-02-09 06:12:49,2016-02-09 06:42:49,39.953625,-82.958954,0.01,Accident on I-70 Eastbound at Exit 102 Kelton Ave. Expect delays.,East Fwy W,Columbus,Franklin,OH,43205,US,US/Eastern,KCMH,2016-02-09 05:51:00,25.0,15.5,88.0,29.65,1.0,SW,9.2,0.02,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-47,Source2,2,2016-02-09 06:21:50,2016-02-09 06:51:50,40.053082,-83.049644,0.01,Accident on Kenny Rd at Henderson Rd. Expect delays.,Kenny Rd,Columbus,Franklin,OH,43220,US,US/Eastern,KOSU,2016-02-09 06:22:00,26.1,15.0,84.0,29.63,2.0,West,12.7,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-48,Source2,3,2016-02-09 06:20:46,2016-02-09 06:50:46,39.936874,-82.878723,0.01,Right hand shoulder blocked due to accident on I-70 Westbound at Exits 107 107A 107B OH-317 Hamilton Rd.,S Hamilton Rd,Columbus,Franklin,OH,43232,US,US/Eastern,KCMH,2016-02-09 06:36:00,24.8,16.1,86.0,29.64,1.0,SW,8.1,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-49,Source2,2,2016-02-09 06:34:41,2016-02-09 07:04:41,39.780643,-84.16349,0.01,Accident on Stanley Ave at OH-201 Brandt St. Expect delays.,Brandt St,Dayton,Montgomery,OH,45404,US,US/Eastern,KFFO,2016-02-09 06:51:00,23.0,11.7,86.0,29.68,4.0,SW,11.5,,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-50,Source2,3,2016-02-09 06:41:09,2016-02-09 07:11:09,39.773193,-84.187454,0.01,Accident on I-75 Northbound at Exits 54A 54B OH-4. Expect delays.,I-75 S,Dayton,Montgomery,OH,45404,US,US/Eastern,KFFO,2016-02-09 06:51:00,23.0,11.7,86.0,29.68,4.0,SW,11.5,,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-51,Source2,2,2016-02-09 06:48:18,2016-02-09 07:18:18,39.77858,-84.20468100000002,0.01,Accident on OH-48 Main St at Burton Ave. Expect delays.,N Main St,Dayton,Montgomery,OH,45405-4141,US,US/Eastern,KDAY,2016-02-09 06:56:00,21.9,9.8,92.0,29.71,2.0,WSW,12.7,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-52,Source2,2,2016-02-09 06:53:09,2016-02-09 07:23:09,39.792988,-84.20607,0.01,Accident on Riverside Dr at Pointview Ave. Expect delays.,Riverside Dr,Dayton,Montgomery,OH,45405,US,US/Eastern,KDAY,2016-02-09 06:56:00,21.9,9.8,92.0,29.71,2.0,WSW,12.7,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-53,Source2,3,2016-02-09 06:54:31,2016-02-09 07:24:31,39.770382,-84.194901,0.01,Accident on I-75 Northbound at Exit 54B Grand Ave. Expect delays.,N Main St,Dayton,Montgomery,OH,45405,US,US/Eastern,KDAY,2016-02-09 06:56:00,21.9,9.8,92.0,29.71,2.0,WSW,12.7,0.01,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-54,Source2,3,2016-02-09 07:03:20,2016-02-09 07:33:20,39.976398,-83.119225,0.01,Accident on I-70 Eastbound at Exits 93 93A 93B I-270 Outerbelt. Expect delays.,Outerbelt S,Columbus,Franklin,OH,43204,US,US/Eastern,KTZR,2016-02-09 07:20:00,21.2,8.3,93.0,29.66,1.5,WSW,13.8,,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-55,Source2,3,2016-02-09 07:05:37,2016-02-09 07:35:37,39.6395,-84.23136099999998,0.01,Accident on I-75 Southbound at Exit 44 OH-725 Miamisburg Centerville Rd. Expect delays.,Miamisburg Centerville Rd,Dayton,Montgomery,OH,45449,US,US/Eastern,KMGY,2016-02-09 07:12:00,21.0,10.6,85.0,29.69,1.2,WSW,9.2,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-56,Source2,2,2016-02-09 07:04:58,2016-02-09 07:34:58,39.232578,-84.159286,0.01,Accident on OH-28 State Route 28 at Wood St. Expect delays.,Wood St,Goshen,Clermont,OH,45122,US,US/Eastern,KI69,2016-02-09 06:56:00,21.0,10.6,93.0,29.73,2.5,WSW,9.2,,Light Snow,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Night,Day,Day
A-57,Source2,2,2016-02-09 07:15:41,2016-02-09 07:45:41,39.746593,-84.23912,0.01,Accident on McCall St at Abbey Ave. Expect delays.,Dearborn Ave,Dayton,Montgomery,OH,45417-2002,US,US/Eastern,KDAY,2016-02-09 07:08:00,21.9,9.8,92.0,29.68,2.0,WSW,12.7,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-58,Source2,2,2016-02-09 07:41:01,2016-02-09 08:11:01,39.742783,-84.182472,0.01,Accident on Brown St at Fairground Ave. Expect delays.,Brown St,Dayton,Montgomery,OH,45409-2602,US,US/Eastern,KFFO,2016-02-09 07:58:00,22.5,12.4,90.0,29.73,1.2,SW,9.2,0.0,Light Snow,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-59,Source2,2,2016-02-09 07:42:43,2016-02-09 08:12:43,39.75452,-84.159279,0.01,Accident on US-35 Eastbound at Steve Whalen Blvd. Expect delays.,US-35 E,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,2016-02-09 07:58:00,22.5,12.4,90.0,29.73,1.2,SW,9.2,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-60,Source2,2,2016-02-09 07:42:11,2016-02-09 08:12:11,39.749916,-84.139359,0.01,Accident on US-35 Eastbound at Smithville Rd. Expect delays.,US-35 E,Dayton,Montgomery,OH,45410,US,US/Eastern,KFFO,2016-02-09 07:58:00,22.5,12.4,90.0,29.73,1.2,SW,9.2,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-61,Source2,3,2016-02-09 07:46:41,2016-02-09 08:16:41,40.100903,-82.98410799999998,0.01,Accident on I-270 Outerbelt Southbound at Exit 26 I-71.,North Fwy S,Columbus,Franklin,OH,43229,US,US/Eastern,KOSU,2016-02-09 07:50:00,24.8,16.1,86.0,29.65,1.8,West,8.1,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-62,Source2,2,2016-02-09 07:54:44,2016-02-09 08:24:44,39.77280800000001,-84.201851,0.0,Accident on 5 Oaks Ave at Forest Ave. Expect delays.,5 Oaks Ave,Dayton,Montgomery,OH,45405-4432,US,US/Eastern,KDAY,2016-02-09 07:54:00,21.2,8.9,93.0,29.69,2.0,West,12.7,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-63,Source2,2,2016-02-09 08:06:39,2016-02-09 08:36:39,39.492485,-84.131798,0.01,Accident on US-42 State Route 42 at Middletown Rd. Expect delays.,N State Route 42,Waynesville,Warren,OH,45068-9388,US,US/Eastern,KMGY,2016-02-09 08:14:00,21.0,10.6,81.0,29.7,1.2,WSW,9.2,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
